date,num1,num2,num3,num4,num5,num6,sup1,sup2
28/04/2014,3,5,8,27,33,39,20,35
21/04/2014,6,13,19,31,42,43,4,7
14/04/2014,1,7,21,23,39,43,22,33
07/04/2014,2,15,20,25,30,35,7,34
31/03/2014,8,12,18,29,33,40,30,39
24/03/2014,4,16,19,21,34,41,5,30
17/03/2014,8,11,21,26,40,41,15,18
10/03/2014,20,27,28,37,40,44,16,19
03/03/2014,4,10,14,21,37,38,25,35
24/02/2014,1,7,9,10,35,39,27,33
17/02/2014,3,16,18,19,21,24,2,42
10/02/2014,3,7,14,17,20,29,8,40
03/02/2014,25,27,30,36,42,44,2,31
27/01/2014,17,20,22,31,38,45,32,34
20/01/2014,7,19,31,37,41,42,17,34
13/01/2014,16,18,28,34,36,38,13,29
06/01/2014,13,17,25,32,39,41,23,29
30/12/2013,9,18,21,22,39,42,28,34
23/12/2013,1,13,14,15,19,24,44,45
16/12/2013,18,23,24,28,29,43,2,9
09/12/2013,1,23,31,36,39,44,35,43
02/12/2013,2,3,7,27,35,44,29,43
25/11/2013,17,22,23,24,26,45,12,30
18/11/2013,7,16,28,30,31,34,12,40
11/11/2013,3,4,26,27,32,42,14,22
04/11/2013,3,7,27,29,34,45,15,19
28/10/2013,19,25,32,35,44,45,12,33
21/10/2013,10,28,30,33,40,42,16,17
14/10/2013,4,5,10,13,37,38,11,27
07/10/2013,5,9,13,16,18,40,8,10
30/09/2013,6,12,24,31,33,39,16,23
23/09/2013,1,5,9,32,38,39,14,23
16/09/2013,1,4,17,18,36,43,25,31
09/09/2013,5,8,28,40,41,44,15,42
02/09/2013,13,20,28,30,43,45,1,7
26/08/2013,6,25,27,38,42,43,15,20
19/08/2013,3,19,28,34,35,39,4,10
12/08/2013,1,21,23,24,29,36,5,7
05/08/2013,1,4,13,14,39,44,5,30
29/07/2013,8,10,31,36,39,42,7,14
22/07/2013,4,7,8,11,23,31,12,39
15/07/2013,4,11,23,26,30,35,1,12
08/07/2013,9,13,19,29,39,42,23,41
01/07/2013,4,13,14,15,23,34,29,43
24/06/2013,7,10,26,29,39,45,5,23
17/06/2013,10,25,29,41,43,44,28,39
