date,num1,num2,num3,num4,num5,num6,sup1,sup2
01/06/2016,12,14,15,29,35,36,2,13
25/05/2016,18,22,31,34,36,41,10,26
18/05/2016,2,16,29,35,36,41,24,38
11/05/2016,1,8,11,13,22,31,25,41
04/05/2016,8,29,31,37,41,44,9,43
27/04/2016,17,19,33,36,38,40,5,45
20/04/2016,7,13,21,31,39,45,14,30
13/04/2016,23,32,35,36,38,39,5,13
06/04/2016,8,13,14,29,33,42,9,10
30/03/2016,18,19,28,36,39,44,2,11
23/03/2016,5,6,18,25,44,45,14,40
16/03/2016,5,22,23,30,33,35,14,24
09/03/2016,5,6,13,24,25,26,4,9
02/03/2016,6,23,25,29,38,45,34,44
24/02/2016,2,12,17,27,39,44,33,45
17/02/2016,17,25,29,30,31,34,18,38
10/02/2016,1,11,16,30,32,34,27,31
03/02/2016,8,14,25,28,30,35,3,27
27/01/2016,16,28,35,43,44,45,4,30
20/01/2016,18,22,26,39,41,44,2,37
13/01/2016,11,13,15,19,21,28,31,41
06/01/2016,12,23,31,35,36,39,19,24
30/12/2015,13,18,22,24,28,33,43,44
23/12/2015,2,3,7,20,28,31,24,40
16/12/2015,1,3,11,21,23,41,33,35
09/12/2015,13,17,35,38,41,45,10,21
02/12/2015,12,16,22,28,32,40,18,30
25/11/2015,7,10,26,38,42,44,2,13
18/11/2015,4,20,21,27,30,31,35,36
11/11/2015,4,8,25,27,33,35,7,15
04/11/2015,8,10,16,20,37,41,5,30
28/10/2015,5,13,19,22,37,39,29,31
21/10/2015,3,12,16,24,39,43,7,8
14/10/2015,1,4,10,22,32,43,13,30
07/10/2015,14,15,19,32,33,42,24,36
30/09/2015,10,16,24,25,35,37,11,41
23/09/2015,2,16,22,26,32,39,4,44
16/09/2015,16,18,20,23,27,35,2,32
09/09/2015,1,6,16,23,27,31,11,37
02/09/2015,5,15,16,25,33,44,10,29
26/08/2015,6,25,26,30,32,41,11,38
19/08/2015,7,25,30,38,41,43,33,42
12/08/2015,2,6,14,15,27,32,13,42
05/08/2015,2,7,13,21,35,41,14,45
29/07/2015,9,19,29,35,41,44,2,43
22/07/2015,8,12,15,29,32,38,17,27
15/07/2015,9,19,21,23,25,44,32,35
08/07/2015,1,11,19,26,29,40,6,24
01/07/2015,5,13,14,24,29,35,20,44
24/06/2015,5,15,19,26,28,37,18,42
17/06/2015,19,24,26,34,39,44,1,12
10/06/2015,1,2,11,20,37,38,18,35
03/06/2015,3,21,31,36,37,38,1,4
27/05/2015,5,20,32,34,42,45,36,38
20/05/2015,16,19,25,29,33,37,26,41
13/05/2015,5,9,12,25,32,38,28,37
06/05/2015,2,6,24,26,33,39,16,37
29/04/2015,8,10,19,29,35,43,1,17
22/04/2015,2,4,11,23,26,41,32,33
15/04/2015,3,6,19,22,29,31,24,33
08/04/2015,16,20,24,30,33,42,1,41
01/04/2015,1,21,22,24,31,37,5,43
25/03/2015,5,9,11,20,31,36,14,25
18/03/2015,4,8,21,25,26,34,11,33
11/03/2015,2,13,17,21,26,45,28,30
04/03/2015,1,4,26,29,32,45,24,36
25/02/2015,2,6,24,31,34,35,4,26
18/02/2015,7,8,10,18,37,42,15,31
11/02/2015,8,12,26,30,32,38,31,34
04/02/2015,2,24,27,33,34,36,29,43
28/01/2015,3,4,13,24,36,38,10,29
21/01/2015,1,14,24,27,43,45,20,40
14/01/2015,8,17,36,39,43,44,6,14
07/01/2015,5,7,11,15,25,26,39,45
31/12/2014,2,7,14,25,26,39,6,8
24/12/2014,1,7,12,13,14,21,35,38
17/12/2014,6,13,22,25,36,40,23,41
10/12/2014,7,11,18,19,20,37,25,35
03/12/2014,3,15,17,21,32,43,16,24
26/11/2014,3,8,14,23,44,45,25,36
19/11/2014,1,3,14,16,29,42,9,23
12/11/2014,12,18,20,30,33,42,4,26
05/11/2014,4,13,28,34,37,43,17,21
29/10/2014,1,16,19,32,38,41,24,42
22/10/2014,1,16,21,26,31,38,25,43
15/10/2014,6,11,19,24,40,42,4,10
08/10/2014,9,12,13,15,32,33,8,17
01/10/2014,5,9,20,22,25,36,42,44
24/09/2014,2,8,9,10,12,18,22,27
17/09/2014,6,7,17,26,31,32,3,14
10/09/2014,8,23,25,34,41,42,14,18
03/09/2014,7,13,17,24,32,41,26,28
27/08/2014,5,7,9,34,36,44,19,40
20/08/2014,3,4,6,18,21,27,15,34
13/08/2014,11,34,35,36,38,40,18,26
06/08/2014,1,16,20,29,37,44,6,32
30/07/2014,2,13,25,31,35,40,20,43
23/07/2014,1,6,24,25,29,34,17,45
16/07/2014,3,25,27,29,33,36,41,43
09/07/2014,12,13,16,26,39,41,2,40
02/07/2014,4,9,18,25,27,42,20,45
25/06/2014,11,25,33,34,42,45,13,23
18/06/2014,1,12,28,29,31,45,7,8
11/06/2014,3,17,18,35,37,38,16,23
04/06/2014,7,8,20,26,28,32,9,40
28/05/2014,15,19,27,30,32,42,2,13
21/05/2014,5,11,12,32,33,40,15,29
14/05/2014,3,5,9,13,20,27,25,44
07/05/2014,1,11,20,23,41,44,17,19
30/04/2014,1,8,14,22,28,38,7,13
23/04/2014,5,9,11,14,21,39,34,35
16/04/2014,10,19,22,23,33,41,12,44
09/04/2014,8,16,32,38,41,44,21,45
02/04/2014,6,7,13,26,34,38,25,35
26/03/2014,11,16,20,25,34,43,30,42
19/03/2014,13,15,19,26,30,42,1,40
12/03/2014,4,9,12,15,22,33,10,16
05/03/2014,8,22,23,25,26,35,6,39
26/02/2014,3,4,11,12,19,44,40,45
19/02/2014,4,9,14,18,39,42,15,27
12/02/2014,8,14,28,34,36,44,13,23
05/02/2014,4,28,30,41,43,45,13,23
29/01/2014,4,6,8,18,32,42,13,36
22/01/2014,3,11,22,26,42,44,19,21
15/01/2014,2,15,16,20,24,30,9,44
08/01/2014,4,5,15,19,21,29,6,9
01/01/2014,3,4,14,24,29,45,11,16
25/12/2013,21,25,30,33,35,44,22,40
18/12/2013,2,4,26,30,36,38,24,43
11/12/2013,10,12,15,22,23,33,4,21
04/12/2013,3,6,17,35,42,45,12,34
27/11/2013,14,15,25,26,29,35,2,23
20/11/2013,3,23,34,38,40,41,18,20
13/11/2013,13,26,28,33,38,44,14,36
06/11/2013,1,20,31,33,34,42,24,38
30/10/2013,4,9,14,37,38,45,17,31
23/10/2013,3,9,16,26,27,42,39,43
16/10/2013,2,13,32,37,38,42,27,31
09/10/2013,10,16,22,28,31,34,37,44
02/10/2013,9,11,12,30,32,40,16,44
25/09/2013,18,26,30,32,33,38,5,22
18/09/2013,11,19,21,41,42,44,37,38
11/09/2013,1,2,7,11,28,32,35,42
04/09/2013,2,13,14,20,22,35,12,44
28/08/2013,11,14,15,32,33,40,31,44
21/08/2013,8,15,16,24,40,44,3,39
14/08/2013,11,19,25,32,41,45,8,33
07/08/2013,7,18,24,28,31,42,19,21
31/07/2013,4,7,14,18,24,43,31,39
24/07/2013,7,19,30,33,34,42,8,9
17/07/2013,3,6,8,16,18,42,21,41
10/07/2013,8,27,28,29,36,45,21,39
03/07/2013,3,23,29,32,33,45,25,37
26/06/2013,2,10,14,35,39,42,18,29
19/06/2013,1,5,9,18,22,30,28,38
12/06/2013,5,7,8,13,22,31,43,45
05/06/2013,2,19,35,40,42,44,4,12
29/05/2013,2,5,24,30,38,44,6,21
22/05/2013,9,11,15,21,24,29,10,44
15/05/2013,8,18,20,22,26,30,1,4
08/05/2013,5,19,26,28,36,37,1,6
01/05/2013,3,7,20,23,39,43,19,36
24/04/2013,7,13,18,39,44,45,1,43
17/04/2013,4,10,19,31,34,38,20,45
10/04/2013,10,14,26,31,35,44,21,37
